id,parent_id,name,path,has_make
339,337,10 Disc,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » CD Changer » 10 Disc,True
341,337,11 Ή Περισσότερα Disc,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » CD Changer » 11 Ή Περισσότερα Disc,True
342,337,5 Ή Λιγότερα Disc,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » CD Changer » 5 Ή Λιγότερα Disc,True
343,337,6 Disc,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » CD Changer » 6 Disc,True
338,337,7-9 Disc,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » CD Changer » 7-9 Disc,True
353,262,DVD Players,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » DVD Players,True
314,312,Combination Signal Processors,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Eq, Crossover & Επεξεργαστές » Combination Signal Processors",True
318,312,Crossover,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Eq, Crossover & Επεξεργαστές » Crossover",True
313,312,Equalizer,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Eq, Crossover & Επεξεργαστές » Equalizer",True
320,312,Inverter,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Eq, Crossover & Επεξεργαστές » Inverter",True
316,312,Επεξεργαστές Μόνο,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Eq, Crossover & Επεξεργαστές » Επεξεργαστές Μόνο",True
317,312,Κεραίες,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Eq, Crossover & Επεξεργαστές » Κεραίες",True
315,312,Τηλεχειριστήρια,"Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Eq, Crossover & Επεξεργαστές » Τηλεχειριστήρια",True
6944,264,GPS Trackers,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » GPS & Αξεσουάρ » GPS Trackers,True
265,264,GPS Συστήματα,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » GPS & Αξεσουάρ » GPS Συστήματα,True
6943,264,Αξεσουάρ GPS,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » GPS & Αξεσουάρ » Αξεσουάρ GPS,True
1601,264,Λογισμικό Και Χάρτες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » GPS & Αξεσουάρ » Λογισμικό Και Χάρτες,True
2856,264,Τροφοδοτικά Υπολογιστή,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » GPS & Αξεσουάρ » Τροφοδοτικά Υπολογιστή,True
6973,283,Fm Transmitters,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Fm Transmitters,True
288,283,Αντάπτορες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Αντάπτορες,True
291,283,Βάσεις,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Βάσεις,True
6972,283,Διάφορα Αξεσουάρ Multimedia,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Διάφορα Αξεσουάρ Multimedia,True
290,283,Θήκες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Θήκες,True
294,283,Κάρτες Μνήμης,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Κάρτες Μνήμης,True
292,283,Κεραίες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Κεραίες,True
295,283,Φορτιστές & Καλώδια,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Φορτιστές & Καλώδια,True
296,283,Φορτιστές & Μπαταρίες,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Αξεσουάρ » Φορτιστές & Μπαταρίες,True
321,262,Ενισχυτές Αυτοκινήτου,Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ενισχυτές Αυτοκινήτου,True
333,326,"3.5""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 3.5""",True
335,326,"4"" & 4.5""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 4"" & 4.5""",True
327,326,"4x6"" & 4x10""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 4x6"" & 4x10""",True
336,326,"5"" & 5.25""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 5"" & 5.25""",True
329,326,"5x7"" & 6x8""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 5x7"" & 6x8""",True
330,326,"6.5"" & 6.75""","Ανταλλακτικά & Αξεσουάρ » Αυτοκινήτων » Ήχος / Εικόνα / GPS » Ηχεία Multimedia » 6.5"" & 6.75""",True
